service_id,date,exception_type
53_R,20241220,1
54_R,20241223,1
54_R,20241224,1
54_R,20241226,1
55_R,20241221,1
56_R,20241225,1
57_R,20241222,1
58_R,20241220,1
58_R,20241223,1
58_R,20241224,1
58_R,20241226,1
58_R,20241227,1
58_R,20241230,1
59_R,20241227,1
60_R,20241230,1
61_R,20241228,1
62_R,20241229,1
63_R,20241218,1
63_R,20241219,1
69_R,20250104,1
69_R,20250111,1
69_R,20250118,1
69_R,20250125,1
69_R,20250201,1
69_R,20250208,1
69_R,20250215,1
69_R,20250222,1
69_R,20250301,1
69_R,20250308,1
69_R,20250315,1
69_R,20250322,1
69_R,20250329,1
69_R,20250405,1
69_R,20250412,1
69_R,20250419,1
69_R,20250426,1
69_R,20250503,1
69_R,20250510,1
69_R,20250517,1
69_R,20250524,1
69_R,20250531,1
69_R,20250607,1
69_R,20250614,1
70_R,20250105,1
70_R,20250112,1
70_R,20250119,1
70_R,20250126,1
70_R,20250202,1
70_R,20250209,1
70_R,20250216,1
70_R,20250223,1
70_R,20250302,1
70_R,20250309,1
70_R,20250316,1
70_R,20250323,1
70_R,20250330,1
70_R,20250406,1
70_R,20250413,1
70_R,20250420,1
70_R,20250427,1
70_R,20250504,1
70_R,20250511,1
70_R,20250518,1
70_R,20250525,1
70_R,20250601,1
70_R,20250608,1
70_R,20250615,1
71_R,20250101,1
72_R,20250103,1
72_R,20250110,1
72_R,20250117,1
72_R,20250124,1
72_R,20250131,1
72_R,20250207,1
72_R,20250214,1
72_R,20250221,1
72_R,20250228,1
72_R,20250307,1
72_R,20250314,1
72_R,20250321,1
72_R,20250328,1
72_R,20250404,1
72_R,20250411,1
72_R,20250418,1
72_R,20250425,1
72_R,20250502,1
72_R,20250509,1
72_R,20250516,1
72_R,20250523,1
72_R,20250530,1
72_R,20250606,1
72_R,20250613,1
73_R,20250102,1
73_R,20250106,1
73_R,20250107,1
73_R,20250108,1
73_R,20250109,1
73_R,20250113,1
73_R,20250114,1
73_R,20250115,1
73_R,20250116,1
73_R,20250120,1
73_R,20250121,1
73_R,20250122,1
73_R,20250123,1
73_R,20250127,1
73_R,20250128,1
73_R,20250129,1
73_R,20250130,1
73_R,20250203,1
73_R,20250204,1
73_R,20250205,1
73_R,20250206,1
73_R,20250210,1
73_R,20250211,1
73_R,20250212,1
73_R,20250213,1
73_R,20250217,1
73_R,20250218,1
73_R,20250219,1
73_R,20250220,1
73_R,20250224,1
73_R,20250225,1
73_R,20250226,1
73_R,20250227,1
73_R,20250303,1
73_R,20250304,1
73_R,20250305,1
73_R,20250306,1
73_R,20250310,1
