service_id,date,exception_type
74_R,20250511,1
74_R,20250518,1
74_R,20250525,1
74_R,20250601,1
74_R,20250608,1
74_R,20250615,1
75_R,20241225,1
75_R,20250101,1
76_R,20241227,1
76_R,20250103,1
76_R,20250110,1
76_R,20250117,1
76_R,20250124,1
76_R,20250131,1
76_R,20250207,1
76_R,20250214,1
76_R,20250221,1
76_R,20250228,1
76_R,20250307,1
76_R,20250314,1
76_R,20250321,1
76_R,20250328,1
76_R,20250404,1
76_R,20250411,1
76_R,20250418,1
76_R,20250425,1
76_R,20250502,1
76_R,20250509,1
76_R,20250516,1
76_R,20250523,1
76_R,20250530,1
76_R,20250606,1
76_R,20250613,1
77_R,20241223,1
77_R,20241224,1
77_R,20241226,1
77_R,20241230,1
77_R,20250102,1
77_R,20250106,1
77_R,20250107,1
77_R,20250108,1
77_R,20250109,1
77_R,20250113,1
77_R,20250114,1
77_R,20250115,1
77_R,20250116,1
77_R,20250120,1
77_R,20250121,1
77_R,20250122,1
77_R,20250123,1
77_R,20250127,1
77_R,20250128,1
77_R,20250129,1
77_R,20250130,1
77_R,20250203,1
77_R,20250204,1
77_R,20250205,1
77_R,20250206,1
77_R,20250210,1
77_R,20250211,1
77_R,20250212,1
77_R,20250213,1
77_R,20250217,1
77_R,20250218,1
77_R,20250219,1
77_R,20250220,1
77_R,20250224,1
77_R,20250225,1
77_R,20250226,1
77_R,20250227,1
77_R,20250303,1
77_R,20250304,1
77_R,20250305,1
77_R,20250306,1
77_R,20250310,1
77_R,20250311,1
77_R,20250312,1
77_R,20250313,1
77_R,20250317,1
77_R,20250318,1
77_R,20250319,1
77_R,20250320,1
77_R,20250324,1
77_R,20250325,1
77_R,20250326,1
77_R,20250327,1
77_R,20250331,1
77_R,20250401,1
77_R,20250402,1
77_R,20250403,1
77_R,20250407,1
77_R,20250408,1
77_R,20250409,1
77_R,20250410,1
77_R,20250414,1
77_R,20250415,1
77_R,20250416,1
77_R,20250417,1
77_R,20250421,1
77_R,20250422,1
77_R,20250423,1
77_R,20250424,1
77_R,20250428,1
77_R,20250429,1
77_R,20250430,1
77_R,20250501,1
77_R,20250505,1
77_R,20250506,1
77_R,20250507,1
77_R,20250508,1
77_R,20250512,1
77_R,20250513,1
77_R,20250514,1
77_R,20250515,1
77_R,20250519,1
77_R,20250520,1
77_R,20250521,1
77_R,20250522,1
77_R,20250526,1
77_R,20250527,1
77_R,20250528,1
77_R,20250529,1
77_R,20250602,1
77_R,20250603,1
77_R,20250604,1
77_R,20250605,1
77_R,20250609,1
77_R,20250610,1
77_R,20250611,1
77_R,20250612,1
77_R,20250616,1
77_R,20250617,1
